"","date","MtCO2.per.day"
"667",2020-10-28,12.99002695
"668",2020-10-29,12.87075996
"669",2020-10-30,13.42493842
"670",2020-10-31,12.12931853
"671",2020-11-01,11.83101502
"672",2020-11-02,13.04997299
"673",2020-11-03,12.44623161
"674",2020-11-04,12.07130667
"675",2020-11-05,12.21648512
"676",2020-11-06,12.42394726
"677",2020-11-07,11.71241508
"678",2020-11-08,10.99623851
"679",2020-11-09,11.75750873
"680",2020-11-10,12.36864386
"681",2020-11-11,13.11457573
"682",2020-11-12,13.42039752
"683",2020-11-13,13.69822597
"684",2020-11-14,12.61782876
"685",2020-11-15,12.01810767
"686",2020-11-16,12.76305693
"687",2020-11-17,13.40423219
"688",2020-11-18,13.30993486
"689",2020-11-19,12.8472057
"690",2020-11-20,12.7397649
"691",2020-11-21,12.86802198
"692",2020-11-22,12.15396534
"693",2020-11-23,12.88124439
"694",2020-11-24,13.41050047
"695",2020-11-25,13.22441908
"696",2020-11-26,11.69423988
"697",2020-11-27,12.35252922
"698",2020-11-28,12.40012343
"699",2020-11-29,12.21932385
"700",2020-11-30,13.44078591
"701",2020-12-01,14.62501323
"702",2020-12-02,15.13717504
"703",2020-12-03,14.89823297
"704",2020-12-04,14.61411475
"705",2020-12-05,14.24782275
"706",2020-12-06,13.87772844
"707",2020-12-07,14.71786983
"708",2020-12-08,14.88003158
"709",2020-12-09,14.94980743
"710",2020-12-10,14.17496968
"711",2020-12-11,14.13515863
"712",2020-12-12,13.41762557
"713",2020-12-13,12.94351772
"714",2020-12-14,14.58296354
"715",2020-12-15,15.53917352
"716",2020-12-16,15.78983491
"717",2020-12-17,15.80585302
"718",2020-12-18,16.21067966
"719",2020-12-19,15.17251169
"720",2020-12-20,13.65284548
"721",2020-12-21,14.28753204
"722",2020-12-22,14.55817764
"723",2020-12-23,14.28187427
"724",2020-12-24,13.82258635
"725",2020-12-25,13.32714331
"726",2020-12-26,14.67957136
"727",2020-12-27,14.08502547
"728",2020-12-28,14.1034096
"729",2020-12-29,14.46224015
"730",2020-12-30,13.95310116
"731",2020-12-31,13.56577034
